"Country","million_2024","percent_2024","pop_2024"
"Australia",8.58,31.5,26699482
"Canada",8.81,22.2,39107046
"France",9.19,13.8,64881830
"Germany",16.75,19.8,83252474
"India",4.8,0.3,1441719852
"Iran",3.84,4.2,89809781
"Italy",6.55,11,58697744
"Japan",3.41,2.8,122631432
"Jordan",5.28,45.7,11384922
"Kuwait",3.32,67.3,4349380
"Malaysia",3.81,10.7,34671895
"Pakistan",4.18,1.7,245209815
"Russia",7.61,5.3,143957079
"Saudi Arabia",13.68,40.3,37473929
"Spain",8.87,18.5,47473373
"Türkiye",7.08,8.1,86260417
"Ukraine",5.06,13.4,37937821
"United Arab Emirates",8.16,74,9591853
"United Kingdom",11.85,17.1,67961439
"United States",52.38,15.2,341814420
"World",304.02,3.7,8161972572
