"Net","Year","name","value"
142580,2004,"Departure",198820
142580,2004,"Arrival",341400
171840,2005,"Departure",204690
171840,2005,"Arrival",376530
232800,2006,"Departure",204640
232800,2006,"Arrival",437440
277340,2007,"Departure",224000
277340,2007,"Arrival",501340
299870,2008,"Departure",219920
299870,2008,"Arrival",519790
196060,2009,"Departure",241870
196060,2009,"Arrival",437930
180370,2010,"Departure",251410
180370,2010,"Arrival",431780
231950,2011,"Departure",235380
231950,2011,"Arrival",467330
230330,2012,"Departure",251760
230330,2012,"Arrival",482090
187780,2013,"Departure",276900
187780,2013,"Arrival",464680
184030,2014,"Departure",281220
184030,2014,"Arrival",465250
206230,2015,"Departure",283040
206230,2015,"Arrival",489280
263350,2016,"Departure",276800
263350,2016,"Arrival",540150
238220,2017,"Departure",289300
238220,2017,"Arrival",527520
241340,2018,"Departure",309060
241340,2018,"Arrival",550400
192700,2019,"Departure",314160
192700,2019,"Arrival",506850
-84940,2020,"Departure",230930
-84940,2020,"Arrival",146000
207910,2021,"Departure",216000
207910,2021,"Arrival",423910
538340,2022,"Departure",200070
538340,2022,"Arrival",738410
429160,2023,"Departure",232200
429160,2023,"Arrival",661360
305570,2024,"Departure",262800
305570,2024,"Arrival",568370
